rank,title,date,artist,region,streams
3,"Ele É Ele, Eu Sou Eu",2021-03-14,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1065797.0
4,Facas - Ao Vivo,2021-03-14,"Diego & Victor Hugo, Bruno & Marrone",Brazil,1003474.0
5,Esquema Preferido,2021-03-14,"DJ Ivis, Tarcísio do Acordeon",Brazil,948908.0
6,Coração Na Cama - Ao Vivo,2021-03-14,Hugo & Guilherme,Brazil,885589.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-14,Zé Neto & Cristiano,Brazil,724981.0
8,Lance Individual,2021-03-14,Jorge & Mateus,Brazil,689102.0
6,Coração Na Cama - Ao Vivo,2021-03-15,Hugo & Guilherme,Brazil,568332.0
4,"Ele É Ele, Eu Sou Eu",2021-03-15,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,645817.0
5,Esquema Preferido,2021-03-15,"DJ Ivis, Tarcísio do Acordeon",Brazil,638182.0
3,Facas - Ao Vivo,2021-03-15,"Diego & Victor Hugo, Bruno & Marrone",Brazil,649836.0
10,Meia Noite (Você tem meu Whatsapp),2021-03-15,Tarcísio do Acordeon,Brazil,439541.0
1,Batom de Cereja - Ao Vivo,2021-03-15,Israel & Rodolffo,Brazil,984831.0
9,Lance Individual,2021-03-15,Jorge & Mateus,Brazil,445506.0
7,M4,2021-03-15,"Teto, Matuê",Brazil,516823.0
2,Tapão Na Raba,2021-03-15,Raí Saia Rodada,Brazil,823775.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-15,Zé Neto & Cristiano,Brazil,453992.0
10,Meia Noite (Você tem meu Whatsapp),2021-03-16,Tarcísio do Acordeon,Brazil,440047.0
1,Batom de Cereja - Ao Vivo,2021-03-16,Israel & Rodolffo,Brazil,995883.0
2,Tapão Na Raba,2021-03-16,Raí Saia Rodada,Brazil,834576.0
3,Facas - Ao Vivo,2021-03-16,"Diego & Victor Hugo, Bruno & Marrone",Brazil,668390.0
4,"Ele É Ele, Eu Sou Eu",2021-03-16,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,657106.0
5,Esquema Preferido,2021-03-16,"DJ Ivis, Tarcísio do Acordeon",Brazil,648271.0
6,Coração Na Cama - Ao Vivo,2021-03-16,Hugo & Guilherme,Brazil,578325.0
7,M4,2021-03-16,"Teto, Matuê",Brazil,531729.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-16,Zé Neto & Cristiano,Brazil,460059.0
9,Lance Individual,2021-03-16,Jorge & Mateus,Brazil,451935.0
10,Meia Noite (Você tem meu Whatsapp),2021-03-17,Tarcísio do Acordeon,Brazil,441695.0
4,"Ele É Ele, Eu Sou Eu",2021-03-17,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,654107.0
5,Esquema Preferido,2021-03-17,"DJ Ivis, Tarcísio do Acordeon",Brazil,643888.0
6,Coração Na Cama - Ao Vivo,2021-03-17,Hugo & Guilherme,Brazil,583370.0
7,M4,2021-03-17,"Teto, Matuê",Brazil,538381.0
1,Batom de Cereja - Ao Vivo,2021-03-17,Israel & Rodolffo,Brazil,1002272.0
9,Lance Individual,2021-03-17,Jorge & Mateus,Brazil,450369.0
3,Facas - Ao Vivo,2021-03-17,"Diego & Victor Hugo, Bruno & Marrone",Brazil,669310.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-17,Zé Neto & Cristiano,Brazil,458735.0
2,Tapão Na Raba,2021-03-17,Raí Saia Rodada,Brazil,824104.0
1,Batom de Cereja - Ao Vivo,2021-03-18,Israel & Rodolffo,Brazil,1091235.0
10,Lance Individual,2021-03-18,Jorge & Mateus,Brazil,476932.0
3,Facas - Ao Vivo,2021-03-18,"Diego & Victor Hugo, Bruno & Marrone",Brazil,707324.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-18,Zé Neto & Cristiano,Brazil,481627.0
8,Troca de Calçada,2021-03-18,Marília Mendonça,Brazil,482365.0
7,M4,2021-03-18,"Teto, Matuê",Brazil,538762.0
6,Coração Na Cama - Ao Vivo,2021-03-18,Hugo & Guilherme,Brazil,618931.0
5,Esquema Preferido,2021-03-18,"DJ Ivis, Tarcísio do Acordeon",Brazil,669661.0
4,"Ele É Ele, Eu Sou Eu",2021-03-18,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,688659.0
2,Tapão Na Raba,2021-03-18,Raí Saia Rodada,Brazil,861564.0
9,M4,2021-03-19,"Teto, Matuê",Brazil,585914.0
2,Tapão Na Raba,2021-03-19,Raí Saia Rodada,Brazil,1038989.0
3,Facas - Ao Vivo,2021-03-19,"Diego & Victor Hugo, Bruno & Marrone",Brazil,877546.0
4,"Ele É Ele, Eu Sou Eu",2021-03-19,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,851213.0
5,Esquema Preferido,2021-03-19,"DJ Ivis, Tarcísio do Acordeon",Brazil,799242.0
6,Coração Na Cama - Ao Vivo,2021-03-19,Hugo & Guilherme,Brazil,767451.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-19,Zé Neto & Cristiano,Brazil,594482.0
1,Batom de Cereja - Ao Vivo,2021-03-19,Israel & Rodolffo,Brazil,1353019.0
10,Lance Individual,2021-03-19,Jorge & Mateus,Brazil,576418.0
7,Troca de Calçada,2021-03-19,Marília Mendonça,Brazil,615732.0
9,Lance Individual,2021-03-20,Jorge & Mateus,Brazil,779695.0
2,Tapão Na Raba,2021-03-20,Raí Saia Rodada,Brazil,1343345.0
3,"Ele É Ele, Eu Sou Eu",2021-03-20,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1204661.0
4,Facas - Ao Vivo,2021-03-20,"Diego & Victor Hugo, Bruno & Marrone",Brazil,1184433.0
5,Coração Na Cama - Ao Vivo,2021-03-20,Hugo & Guilherme,Brazil,1046951.0
6,Esquema Preferido,2021-03-20,"DJ Ivis, Tarcísio do Acordeon",Brazil,1044150.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-20,Zé Neto & Cristiano,Brazil,815874.0
8,Troca de Calçada,2021-03-20,Marília Mendonça,Brazil,812003.0
10,Meia Noite (Você tem meu Whatsapp),2021-03-20,Tarcísio do Acordeon,Brazil,743959.0
1,Batom de Cereja - Ao Vivo,2021-03-20,Israel & Rodolffo,Brazil,1753114.0
1,Batom de Cereja - Ao Vivo,2021-03-21,Israel & Rodolffo,Brazil,1442769.0
2,Tapão Na Raba,2021-03-21,Raí Saia Rodada,Brazil,1117620.0
3,"Ele É Ele, Eu Sou Eu",2021-03-21,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1037559.0
4,Facas - Ao Vivo,2021-03-21,"Diego & Victor Hugo, Bruno & Marrone",Brazil,987280.0
6,Esquema Preferido,2021-03-21,"DJ Ivis, Tarcísio do Acordeon",Brazil,867320.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-21,Zé Neto & Cristiano,Brazil,694975.0
8,Troca de Calçada,2021-03-21,Marília Mendonça,Brazil,663559.0
10,Meia Noite (Você tem meu Whatsapp),2021-03-21,Tarcísio do Acordeon,Brazil,634083.0
5,Coração Na Cama - Ao Vivo,2021-03-21,Hugo & Guilherme,Brazil,872625.0
9,Lance Individual,2021-03-21,Jorge & Mateus,Brazil,655362.0
6,Coração Na Cama - Ao Vivo,2021-03-22,Hugo & Guilherme,Brazil,543873.0
2,Tapão Na Raba,2021-03-22,Raí Saia Rodada,Brazil,743129.0
3,Facas - Ao Vivo,2021-03-22,"Diego & Victor Hugo, Bruno & Marrone",Brazil,626403.0
4,"Ele É Ele, Eu Sou Eu",2021-03-22,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,613684.0
5,Esquema Preferido,2021-03-22,"DJ Ivis, Tarcísio do Acordeon",Brazil,571201.0
7,M4,2021-03-22,"Teto, Matuê",Brazil,473028.0
8,Troca de Calçada,2021-03-22,Marília Mendonça,Brazil,461594.0
1,Batom de Cereja - Ao Vivo,2021-03-22,Israel & Rodolffo,Brazil,977775.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-22,Zé Neto & Cristiano,Brazil,426094.0
10,Lance Individual,2021-03-22,Jorge & Mateus,Brazil,413932.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-23,Zé Neto & Cristiano,Brazil,428631.0
1,Batom de Cereja - Ao Vivo,2021-03-23,Israel & Rodolffo,Brazil,976760.0
2,Tapão Na Raba,2021-03-23,Raí Saia Rodada,Brazil,749310.0
3,Facas - Ao Vivo,2021-03-23,"Diego & Victor Hugo, Bruno & Marrone",Brazil,642331.0
4,"Ele É Ele, Eu Sou Eu",2021-03-23,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,616794.0
5,Esquema Preferido,2021-03-23,"DJ Ivis, Tarcísio do Acordeon",Brazil,581304.0
6,Coração Na Cama - Ao Vivo,2021-03-23,Hugo & Guilherme,Brazil,550681.0
7,M4,2021-03-23,"Teto, Matuê",Brazil,497363.0
8,Troca de Calçada,2021-03-23,Marília Mendonça,Brazil,492218.0
10,Lance Individual,2021-03-23,Jorge & Mateus,Brazil,422343.0
3,Facas - Ao Vivo,2021-03-24,"Diego & Victor Hugo, Bruno & Marrone",Brazil,662938.0
4,"Ele É Ele, Eu Sou Eu",2021-03-24,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,626608.0
5,Esquema Preferido,2021-03-24,"DJ Ivis, Tarcísio do Acordeon",Brazil,589044.0
6,Coração Na Cama - Ao Vivo,2021-03-24,Hugo & Guilherme,Brazil,567472.0
8,Troca de Calçada,2021-03-24,Marília Mendonça,Brazil,496732.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-24,Zé Neto & Cristiano,Brazil,437511.0
10,Lance Individual,2021-03-24,Jorge & Mateus,Brazil,431636.0
1,Batom de Cereja - Ao Vivo,2021-03-24,Israel & Rodolffo,Brazil,1013728.0
7,M4,2021-03-24,"Teto, Matuê",Brazil,500256.0
2,Tapão Na Raba,2021-03-24,Raí Saia Rodada,Brazil,756410.0
10,Lance Individual,2021-03-25,Jorge & Mateus,Brazil,485109.0
8,M4,2021-03-25,"Teto, Matuê",Brazil,523746.0
9,Troca de Calçada,2021-03-25,Marília Mendonça,Brazil,513186.0
7,Disco Arranhado - Funk Remix,2021-03-25,"Malu, DJ Lucas Beat",Brazil,531420.0
6,Coração Na Cama - Ao Vivo,2021-03-25,Hugo & Guilherme,Brazil,618183.0
5,Esquema Preferido,2021-03-25,"DJ Ivis, Tarcísio do Acordeon",Brazil,635925.0
4,"Ele É Ele, Eu Sou Eu",2021-03-25,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,684613.0
3,Facas - Ao Vivo,2021-03-25,"Diego & Victor Hugo, Bruno & Marrone",Brazil,718871.0
2,Tapão Na Raba,2021-03-25,Raí Saia Rodada,Brazil,811841.0
1,Batom de Cereja - Ao Vivo,2021-03-25,Israel & Rodolffo,Brazil,1076153.0
3,Facas - Ao Vivo,2021-03-26,"Diego & Victor Hugo, Bruno & Marrone",Brazil,871350.0
4,"Ele É Ele, Eu Sou Eu",2021-03-26,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,840146.0
2,Tapão Na Raba,2021-03-26,Raí Saia Rodada,Brazil,973414.0
5,Esquema Preferido,2021-03-26,"DJ Ivis, Tarcísio do Acordeon",Brazil,764514.0
10,Troca de Calçada,2021-03-26,Marília Mendonça,Brazil,583575.0
9,Lance Individual,2021-03-26,Jorge & Mateus,Brazil,595137.0
8,Paradigmas,2021-03-26,Jorge & Mateus,Brazil,616165.0
7,Disco Arranhado - Funk Remix,2021-03-26,"Malu, DJ Lucas Beat",Brazil,756978.0
6,Coração Na Cama - Ao Vivo,2021-03-26,Hugo & Guilherme,Brazil,758535.0
1,Batom de Cereja - Ao Vivo,2021-03-26,Israel & Rodolffo,Brazil,1293955.0
10,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-27,Zé Neto & Cristiano,Brazil,793599.0
9,Lance Individual,2021-03-27,Jorge & Mateus,Brazil,797356.0
7,Disco Arranhado - Funk Remix,2021-03-27,"Malu, DJ Lucas Beat",Brazil,952872.0
8,Paradigmas,2021-03-27,Jorge & Mateus,Brazil,829575.0
5,Coração Na Cama - Ao Vivo,2021-03-27,Hugo & Guilherme,Brazil,1027800.0
4,Facas - Ao Vivo,2021-03-27,"Diego & Victor Hugo, Bruno & Marrone",Brazil,1158152.0
3,"Ele É Ele, Eu Sou Eu",2021-03-27,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1167747.0
1,Batom de Cereja - Ao Vivo,2021-03-27,Israel & Rodolffo,Brazil,1673230.0
6,Esquema Preferido,2021-03-27,"DJ Ivis, Tarcísio do Acordeon",Brazil,998670.0
2,Tapão Na Raba,2021-03-27,Raí Saia Rodada,Brazil,1265555.0
1,Batom de Cereja - Ao Vivo,2021-03-28,Israel & Rodolffo,Brazil,1371077.0
2,Tapão Na Raba,2021-03-28,Raí Saia Rodada,Brazil,1038225.0
3,"Ele É Ele, Eu Sou Eu",2021-03-28,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,980384.0
4,Facas - Ao Vivo,2021-03-28,"Diego & Victor Hugo, Bruno & Marrone",Brazil,957088.0
5,Coração Na Cama - Ao Vivo,2021-03-28,Hugo & Guilherme,Brazil,851432.0
6,Disco Arranhado - Funk Remix,2021-03-28,"Malu, DJ Lucas Beat",Brazil,813285.0
9,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-03-28,Os Barões Da Pisadinha,Brazil,672398.0
7,Esquema Preferido,2021-03-28,"DJ Ivis, Tarcísio do Acordeon",Brazil,812623.0
8,Paradigmas,2021-03-28,Jorge & Mateus,Brazil,682511.0
10,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-03-28,Zé Neto & Cristiano,Brazil,665172.0
10,Preta do Cabelo Cacheado,2021-03-29,"Th CDM, DG e Batidão Stronda",Brazil,432947.0
4,Facas - Ao Vivo,2021-03-29,"Diego & Victor Hugo, Bruno & Marrone",Brazil,592860.0
5,"Ele É Ele, Eu Sou Eu",2021-03-29,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,567459.0
6,Coração Na Cama - Ao Vivo,2021-03-29,Hugo & Guilherme,Brazil,528386.0
7,Esquema Preferido,2021-03-29,"DJ Ivis, Tarcísio do Acordeon",Brazil,522211.0
8,Paradigmas,2021-03-29,Jorge & Mateus,Brazil,448428.0
9,M4,2021-03-29,"Teto, Matuê",Brazil,443790.0
1,Batom de Cereja - Ao Vivo,2021-03-29,Israel & Rodolffo,Brazil,903428.0
2,Tapão Na Raba,2021-03-29,Raí Saia Rodada,Brazil,664077.0
3,Disco Arranhado - Funk Remix,2021-03-29,"Malu, DJ Lucas Beat",Brazil,660819.0
7,Esquema Preferido,2021-03-30,"DJ Ivis, Tarcísio do Acordeon",Brazil,525342.0
8,Paradigmas,2021-03-30,Jorge & Mateus,Brazil,461146.0
1,Batom de Cereja - Ao Vivo,2021-03-30,Israel & Rodolffo,Brazil,910287.0
6,Coração Na Cama - Ao Vivo,2021-03-30,Hugo & Guilherme,Brazil,538743.0
5,"Ele É Ele, Eu Sou Eu",2021-03-30,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,576844.0
4,Facas - Ao Vivo,2021-03-30,"Diego & Victor Hugo, Bruno & Marrone",Brazil,611161.0
9,M4,2021-03-30,"Teto, Matuê",Brazil,459594.0
10,Lance Individual,2021-03-30,Jorge & Mateus,Brazil,420450.0
2,Disco Arranhado - Funk Remix,2021-03-30,"Malu, DJ Lucas Beat",Brazil,681592.0
3,Tapão Na Raba,2021-03-30,Raí Saia Rodada,Brazil,667559.0
3,Tapão Na Raba,2021-03-31,Raí Saia Rodada,Brazil,701780.0
2,Disco Arranhado - Funk Remix,2021-03-31,"Malu, DJ Lucas Beat",Brazil,716908.0
10,Lance Individual,2021-03-31,Jorge & Mateus,Brazil,450853.0
9,M4,2021-03-31,"Teto, Matuê",Brazil,477538.0
8,Paradigmas,2021-03-31,Jorge & Mateus,Brazil,492723.0
7,Esquema Preferido,2021-03-31,"DJ Ivis, Tarcísio do Acordeon",Brazil,554664.0
6,Coração Na Cama - Ao Vivo,2021-03-31,Hugo & Guilherme,Brazil,576817.0
5,"Ele É Ele, Eu Sou Eu",2021-03-31,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,616472.0
4,Facas - Ao Vivo,2021-03-31,"Diego & Victor Hugo, Bruno & Marrone",Brazil,660665.0
1,Batom de Cereja - Ao Vivo,2021-03-31,Israel & Rodolffo,Brazil,964016.0
10,M4,2021-04-01,"Teto, Matuê",Brazil,556571.0
9,Lance Individual,2021-04-01,Jorge & Mateus,Brazil,579948.0
1,Batom de Cereja - Ao Vivo,2021-04-01,Israel & Rodolffo,Brazil,1270737.0
2,Disco Arranhado - Funk Remix,2021-04-01,"Malu, DJ Lucas Beat",Brazil,929960.0
3,Tapão Na Raba,2021-04-01,Raí Saia Rodada,Brazil,911622.0
4,Facas - Ao Vivo,2021-04-01,"Diego & Victor Hugo, Bruno & Marrone",Brazil,853656.0
5,"Ele É Ele, Eu Sou Eu",2021-04-01,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,813502.0
6,Coração Na Cama - Ao Vivo,2021-04-01,Hugo & Guilherme,Brazil,752570.0
8,Paradigmas,2021-04-01,Jorge & Mateus,Brazil,646019.0
7,Esquema Preferido,2021-04-01,"DJ Ivis, Tarcísio do Acordeon",Brazil,722692.0
9,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-02,Os Barões Da Pisadinha,Brazil,662657.0
8,Paradigmas,2021-04-02,Jorge & Mateus,Brazil,682731.0
7,Esquema Preferido,2021-04-02,"DJ Ivis, Tarcísio do Acordeon",Brazil,789891.0
6,Coração Na Cama - Ao Vivo,2021-04-02,Hugo & Guilherme,Brazil,833317.0
4,Facas - Ao Vivo,2021-04-02,"Diego & Victor Hugo, Bruno & Marrone",Brazil,943883.0
3,Disco Arranhado - Funk Remix,2021-04-02,"Malu, DJ Lucas Beat",Brazil,972666.0
2,Tapão Na Raba,2021-04-02,Raí Saia Rodada,Brazil,995965.0
1,Batom de Cereja - Ao Vivo,2021-04-02,Israel & Rodolffo,Brazil,1394202.0
5,"Ele É Ele, Eu Sou Eu",2021-04-02,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,931346.0
10,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-04-02,Zé Neto & Cristiano,Brazil,647351.0
5,"Ele É Ele, Eu Sou Eu",2021-04-03,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1070990.0
10,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-04-03,Zé Neto & Cristiano,Brazil,750300.0
9,Paradigmas,2021-04-03,Jorge & Mateus,Brazil,780830.0
8,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-03,Os Barões Da Pisadinha,Brazil,796701.0
7,Esquema Preferido,2021-04-03,"DJ Ivis, Tarcísio do Acordeon",Brazil,897259.0
6,Coração Na Cama - Ao Vivo,2021-04-03,Hugo & Guilherme,Brazil,950515.0
1,Batom de Cereja - Ao Vivo,2021-04-03,Israel & Rodolffo,Brazil,1599694.0
4,Facas - Ao Vivo,2021-04-03,"Diego & Victor Hugo, Bruno & Marrone",Brazil,1074745.0
3,Disco Arranhado - Funk Remix,2021-04-03,"Malu, DJ Lucas Beat",Brazil,1088908.0
2,Tapão Na Raba,2021-04-03,Raí Saia Rodada,Brazil,1138730.0
1,Batom de Cereja - Ao Vivo,2021-04-04,Israel & Rodolffo,Brazil,1375481.0
2,Tapão Na Raba,2021-04-04,Raí Saia Rodada,Brazil,976070.0
10,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-04-04,Zé Neto & Cristiano,Brazil,668740.0
9,Paradigmas,2021-04-04,Jorge & Mateus,Brazil,671230.0
8,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-04,Os Barões Da Pisadinha,Brazil,715726.0
7,Esquema Preferido,2021-04-04,"DJ Ivis, Tarcísio do Acordeon",Brazil,778175.0
6,Coração Na Cama - Ao Vivo,2021-04-04,Hugo & Guilherme,Brazil,830764.0
5,Disco Arranhado - Funk Remix,2021-04-04,"Malu, DJ Lucas Beat",Brazil,935866.0
4,Facas - Ao Vivo,2021-04-04,"Diego & Victor Hugo, Bruno & Marrone",Brazil,940175.0
3,"Ele É Ele, Eu Sou Eu",2021-04-04,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,949773.0
9,M4,2021-04-05,"Teto, Matuê",Brazil,456917.0
8,Paradigmas,2021-04-05,Jorge & Mateus,Brazil,461549.0
7,Esquema Preferido,2021-04-05,"DJ Ivis, Tarcísio do Acordeon",Brazil,521858.0
6,Coração Na Cama - Ao Vivo,2021-04-05,Hugo & Guilherme,Brazil,525029.0
2,Disco Arranhado - Funk Remix,2021-04-05,"Malu, DJ Lucas Beat",Brazil,763968.0
4,Facas - Ao Vivo,2021-04-05,"Diego & Victor Hugo, Bruno & Marrone",Brazil,598787.0
3,Tapão Na Raba,2021-04-05,Raí Saia Rodada,Brazil,659371.0
1,Batom de Cereja - Ao Vivo,2021-04-05,Israel & Rodolffo,Brazil,903846.0
5,"Ele É Ele, Eu Sou Eu",2021-04-05,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,567372.0
10,MONTERO (Call Me By Your Name),2021-04-05,Lil Nas X,Brazil,448595.0
5,"Ele É Ele, Eu Sou Eu",2021-04-06,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,550868.0
10,M4,2021-04-06,"Teto, Matuê",Brazil,454522.0
9,Paradigmas,2021-04-06,Jorge & Mateus,Brazil,454805.0
8,MONTERO (Call Me By Your Name),2021-04-06,Lil Nas X,Brazil,464753.0
7,Coração Na Cama - Ao Vivo,2021-04-06,Hugo & Guilherme,Brazil,507057.0
6,Esquema Preferido,2021-04-06,"DJ Ivis, Tarcísio do Acordeon",Brazil,508497.0
4,Facas - Ao Vivo,2021-04-06,"Diego & Victor Hugo, Bruno & Marrone",Brazil,587457.0
3,Tapão Na Raba,2021-04-06,Raí Saia Rodada,Brazil,643065.0
2,Disco Arranhado - Funk Remix,2021-04-06,"Malu, DJ Lucas Beat",Brazil,749769.0
1,Batom de Cereja - Ao Vivo,2021-04-06,Israel & Rodolffo,Brazil,867149.0
5,"Ele É Ele, Eu Sou Eu",2021-04-07,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,597442.0
2,Disco Arranhado - Funk Remix,2021-04-07,"Malu, DJ Lucas Beat",Brazil,795183.0
3,Tapão Na Raba,2021-04-07,Raí Saia Rodada,Brazil,694097.0
4,Facas - Ao Vivo,2021-04-07,"Diego & Victor Hugo, Bruno & Marrone",Brazil,627302.0
1,Batom de Cereja - Ao Vivo,2021-04-07,Israel & Rodolffo,Brazil,1092545.0
7,Esquema Preferido,2021-04-07,"DJ Ivis, Tarcísio do Acordeon",Brazil,542810.0
10,M4,2021-04-07,"Teto, Matuê",Brazil,460650.0
9,MONTERO (Call Me By Your Name),2021-04-07,Lil Nas X,Brazil,481978.0
8,Paradigmas,2021-04-07,Jorge & Mateus,Brazil,489734.0
6,Coração Na Cama - Ao Vivo,2021-04-07,Hugo & Guilherme,Brazil,551361.0
2,Disco Arranhado - Funk Remix,2021-04-08,"Malu, DJ Lucas Beat",Brazil,847284.0
3,Tapão Na Raba,2021-04-08,Raí Saia Rodada,Brazil,747994.0
4,Facas - Ao Vivo,2021-04-08,"Diego & Victor Hugo, Bruno & Marrone",Brazil,689185.0
1,Batom de Cereja - Ao Vivo,2021-04-08,Israel & Rodolffo,Brazil,1167862.0
5,"Ele É Ele, Eu Sou Eu",2021-04-08,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,650820.0
6,Coração Na Cama - Ao Vivo,2021-04-08,Hugo & Guilherme,Brazil,590311.0
7,Paradigmas,2021-04-08,Jorge & Mateus,Brazil,540667.0
8,M4,2021-04-08,"Teto, Matuê",Brazil,523751.0
10,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-08,Os Barões Da Pisadinha,Brazil,483723.0
9,MONTERO (Call Me By Your Name),2021-04-08,Lil Nas X,Brazil,502340.0
1,Batom de Cereja - Ao Vivo,2021-04-09,Israel & Rodolffo,Brazil,1395726.0
7,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-09,Os Barões Da Pisadinha,Brazil,666612.0
6,Coração Na Cama - Ao Vivo,2021-04-09,Hugo & Guilherme,Brazil,710534.0
5,"Ele É Ele, Eu Sou Eu",2021-04-09,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,798885.0
4,Facas - Ao Vivo,2021-04-09,"Diego & Victor Hugo, Bruno & Marrone",Brazil,831443.0
3,Tapão Na Raba,2021-04-09,Raí Saia Rodada,Brazil,895526.0
2,Disco Arranhado - Funk Remix,2021-04-09,"Malu, DJ Lucas Beat",Brazil,1033700.0
10,Liberdade (Quando o Grave Bate Forte),2021-04-09,"Alok, Mc Don Juan, Dj GBR",Brazil,605564.0
8,Paradigmas,2021-04-09,Jorge & Mateus,Brazil,662864.0
9,Esquema Preferido (feat. Tarcísio do Acordeon),2021-04-09,DJ Ivis,Brazil,610565.0
9,Paradigmas,2021-04-10,Jorge & Mateus,Brazil,888565.0
1,Batom de Cereja - Ao Vivo,2021-04-10,Israel & Rodolffo,Brazil,1899844.0
2,Disco Arranhado - Funk Remix,2021-04-10,"Malu, DJ Lucas Beat",Brazil,1281952.0
3,Tapão Na Raba,2021-04-10,Raí Saia Rodada,Brazil,1213898.0
4,"Ele É Ele, Eu Sou Eu",2021-04-10,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1164969.0
5,Facas - Ao Vivo,2021-04-10,"Diego & Victor Hugo, Bruno & Marrone",Brazil,1152242.0
6,Coração Na Cama - Ao Vivo,2021-04-10,Hugo & Guilherme,Brazil,1010580.0
7,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-10,Os Barões Da Pisadinha,Brazil,996125.0
8,Esquema Preferido (feat. Tarcísio do Acordeon),2021-04-10,DJ Ivis,Brazil,898718.0
10,Liberdade (Quando o Grave Bate Forte),2021-04-10,"Alok, Mc Don Juan, Dj GBR",Brazil,813941.0
8,Paradigmas,2021-04-11,Jorge & Mateus,Brazil,719444.0
7,Coração Na Cama - Ao Vivo,2021-04-11,Hugo & Guilherme,Brazil,835573.0
5,Facas - Ao Vivo,2021-04-11,"Diego & Victor Hugo, Bruno & Marrone",Brazil,957111.0
4,"Ele É Ele, Eu Sou Eu",2021-04-11,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,981624.0
6,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2021-04-11,Os Barões Da Pisadinha,Brazil,845000.0
2,Disco Arranhado - Funk Remix,2021-04-11,"Malu, DJ Lucas Beat",Brazil,1055549.0
1,Batom de Cereja - Ao Vivo,2021-04-11,Israel & Rodolffo,Brazil,1557675.0
9,Liberdade (Quando o Grave Bate Forte),2021-04-11,"Alok, Mc Don Juan, Dj GBR",Brazil,707700.0
3,Tapão Na Raba,2021-04-11,Raí Saia Rodada,Brazil,1010140.0
10,Esquema Preferido (feat. Tarcísio do Acordeon),2021-04-11,DJ Ivis,Brazil,687550.0
6,"Ele É Ele, Eu Sou Eu",2021-04-12,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,581826.0
8,M4,2021-04-12,"Teto, Matuê",Brazil,501412.0
9,Coração Na Cama - Ao Vivo,2021-04-12,Hugo & Guilherme,Brazil,499621.0
5,Facas - Ao Vivo,2021-04-12,"Diego & Victor Hugo, Bruno & Marrone",Brazil,590340.0
